row_id,class_id,label,frame_index,left_detected,right_detected,detected_hands,raw_handedness
0,0,A,77,1,1,2,"[('right', 0.9978259205818176), ('left', 0.9984071254730225)]"
1,0,A,78,1,1,2,"[('right', 0.99763023853302), ('left', 0.9982012510299683)]"
2,0,A,79,1,1,2,"[('right', 0.9974641799926758), ('left', 0.9981475472450256)]"
3,0,A,80,1,1,2,"[('right', 0.9977797269821167), ('left', 0.998688817024231)]"
4,0,A,81,1,1,2,"[('right', 0.9971415400505066), ('left', 0.9980636835098267)]"
5,0,A,82,1,1,2,"[('right', 0.9967092871665955), ('left', 0.998068630695343)]"
6,0,A,83,1,1,2,"[('right', 0.9970123767852783), ('left', 0.9983383417129517)]"
7,0,A,84,1,1,2,"[('right', 0.9973215460777283), ('left', 0.9982388019561768)]"
8,0,A,85,1,1,2,"[('right', 0.9972405433654785), ('left', 0.9981457591056824)]"
9,0,A,86,1,1,2,"[('right', 0.9970945119857788), ('left', 0.9984696507453918)]"
10,0,A,87,1,1,2,"[('right', 0.9971121549606323), ('left', 0.9978659749031067)]"
11,0,A,88,1,1,2,"[('right', 0.9970345497131348), ('left', 0.9977514743804932)]"
12,0,A,89,1,1,2,"[('right', 0.9968293309211731), ('left', 0.9980224967002869)]"
13,0,A,90,1,1,2,"[('right', 0.9967726469039917), ('left', 0.997818648815155)]"
14,0,A,91,1,1,2,"[('right', 0.997066855430603), ('left', 0.9982200264930725)]"
15,0,A,92,1,1,2,"[('right', 0.9974055886268616), ('left', 0.9979846477508545)]"
16,0,A,93,1,1,2,"[('right', 0.9972373843193054), ('left', 0.998232364654541)]"
17,0,A,94,1,1,2,"[('right', 0.9970840811729431), ('left', 0.9977998733520508)]"
18,1,B,246,1,1,2,"[('right', 0.9964480400085449), ('left', 0.8699079751968384)]"
19,1,B,247,1,1,2,"[('left', 0.9457084536552429), ('right', 0.9968161582946777)]"
20,1,B,248,1,1,2,"[('left', 0.963202714920044), ('right', 0.9971573352813721)]"
21,1,B,249,1,1,2,"[('right', 0.9963284730911255), ('left', 0.9518835544586182)]"
22,1,B,250,1,1,2,"[('right', 0.9950989484786987), ('left', 0.9580520391464233)]"
23,1,B,251,1,1,2,"[('right', 0.9945120811462402), ('left', 0.9269381761550903)]"
24,1,B,252,1,1,2,"[('right', 0.994027853012085), ('left', 0.9546339511871338)]"
25,1,B,253,1,1,2,"[('right', 0.9944406747817993), ('left', 0.9525673985481262)]"
26,1,B,254,1,1,2,"[('right', 0.9958314895629883), ('left', 0.9598479270935059)]"
27,1,B,255,1,1,2,"[('right', 0.9953764081001282), ('left', 0.9620763063430786)]"
28,1,B,256,1,1,2,"[('right', 0.9951695799827576), ('left', 0.9663752317428589)]"
29,1,B,257,1,1,2,"[('right', 0.9946553707122803), ('left', 0.9331147074699402)]"
30,1,B,258,1,1,2,"[('right', 0.9956696033477783), ('left', 0.9169882535934448)]"
31,1,B,259,1,1,2,"[('right', 0.9955295324325562), ('left', 0.9656668901443481)]"
32,1,B,260,1,1,2,"[('right', 0.9958512783050537), ('left', 0.9599425196647644)]"
33,1,B,261,1,1,2,"[('right', 0.9962064027786255), ('left', 0.9200047850608826)]"
34,1,B,262,1,1,2,"[('right', 0.9956584572792053), ('left', 0.8936149477958679)]"
35,1,B,263,1,1,2,"[('right', 0.9958586096763611), ('left', 0.8769639730453491)]"
36,2,C,379,1,0,1,"[('left', 0.9914803504943848)]"
37,2,C,380,1,0,1,"[('left', 0.9887397885322571)]"
38,2,C,381,1,0,1,"[('left', 0.9881256222724915)]"
39,2,C,382,1,0,1,"[('left', 0.9905651807785034)]"
40,2,C,383,1,0,1,"[('left', 0.9920377135276794)]"
41,2,C,384,1,0,1,"[('left', 0.9903560280799866)]"
42,2,C,385,1,0,1,"[('left', 0.9929004907608032)]"
43,2,C,386,1,0,1,"[('left', 0.993425190448761)]"
44,2,C,387,1,0,1,"[('left', 0.9957123398780823)]"
45,2,C,388,1,0,1,"[('left', 0.9972782135009766)]"
46,2,C,389,1,0,1,"[('left', 0.9973040819168091)]"
47,2,C,390,1,0,1,"[('left', 0.9968062043190002)]"
48,2,C,391,1,0,1,"[('left', 0.9967637062072754)]"
49,2,C,392,1,0,1,"[('left', 0.998047411441803)]"
50,2,C,393,1,0,1,"[('left', 0.9974265098571777)]"
51,2,C,394,1,0,1,"[('left', 0.9962689280509949)]"
52,2,C,395,1,0,1,"[('left', 0.9965835213661194)]"
53,2,C,396,1,0,1,"[('left', 0.9954534769058228)]"
54,3,D,610,1,1,2,"[('left', 0.9957892894744873), ('right', 0.9974286556243896)]"
55,3,D,611,1,1,2,"[('left', 0.9958614706993103), ('right', 0.9968732595443726)]"
56,3,D,612,1,1,2,"[('left', 0.9963416457176208), ('right', 0.9968774318695068)]"
57,3,D,613,1,1,2,"[('left', 0.9961060285568237), ('right', 0.9968270063400269)]"
58,3,D,614,1,1,2,"[('left', 0.9958184957504272), ('right', 0.9965931177139282)]"
59,3,D,615,1,1,2,"[('left', 0.9958697557449341), ('right', 0.9961666464805603)]"
60,3,D,616,1,1,2,"[('left', 0.9953597187995911), ('right', 0.9961772561073303)]"
61,3,D,617,1,1,2,"[('left', 0.9951489567756653), ('right', 0.9968905448913574)]"
62,3,D,618,1,1,2,"[('left', 0.9954735636711121), ('right', 0.9969912767410278)]"
63,3,D,619,1,1,2,"[('left', 0.9956353902816772), ('right', 0.9968469142913818)]"
64,3,D,620,1,1,2,"[('left', 0.9962796568870544), ('right', 0.9970744252204895)]"
65,3,D,621,1,1,2,"[('left', 0.9961280822753906), ('right', 0.9974320530891418)]"
66,3,D,622,1,1,2,"[('left', 0.9953628182411194), ('right', 0.9969830513000488)]"
67,3,D,623,1,1,2,"[('left', 0.9960545301437378), ('right', 0.9970023036003113)]"
68,3,D,624,1,1,2,"[('left', 0.9955043196678162), ('right', 0.9967993497848511)]"
69,3,D,625,1,1,2,"[('left', 0.9951974749565125), ('right', 0.996816873550415)]"
70,3,D,626,1,1,2,"[('left', 0.9955843091011047), ('right', 0.9972107410430908)]"
71,3,D,627,1,1,2,"[('left', 0.995536208152771), ('right', 0.9975047707557678)]"
72,4,E,760,1,1,2,"[('right', 0.9932114481925964), ('left', 0.9944461584091187)]"
73,4,E,761,1,1,2,"[('right', 0.9932603240013123), ('left', 0.9931762218475342)]"
74,4,E,762,1,1,2,"[('right', 0.9930939674377441), ('left', 0.9914687275886536)]"
75,4,E,763,1,1,2,"[('right', 0.9927463531494141), ('left', 0.9942601323127747)]"
76,4,E,764,1,1,2,"[('right', 0.9935821294784546), ('left', 0.9954432845115662)]"
77,4,E,765,1,1,2,"[('right', 0.9931935667991638), ('left', 0.9960775971412659)]"
78,4,E,766,1,1,2,"[('right', 0.9942362308502197), ('left', 0.9921651482582092)]"
79,4,E,767,1,1,2,"[('right', 0.9944893717765808), ('left', 0.9958776235580444)]"
80,4,E,768,1,1,2,"[('right', 0.9944552779197693), ('left', 0.9933133125305176)]"
81,4,E,769,1,1,2,"[('right', 0.9937084913253784), ('left', 0.9945223927497864)]"
82,4,E,770,1,1,2,"[('right', 0.9948903918266296), ('left', 0.9927260875701904)]"
83,4,E,771,1,1,2,"[('right', 0.9952892661094666), ('left', 0.9939091205596924)]"
84,4,E,772,1,1,2,"[('right', 0.9958759546279907), ('left', 0.9946211576461792)]"
85,4,E,773,1,1,2,"[('right', 0.9966326951980591), ('left', 0.9949948787689209)]"
86,4,E,774,1,1,2,"[('right', 0.9960620999336243), ('left', 0.9958493709564209)]"
87,4,E,775,1,1,2,"[('right', 0.995665431022644), ('left', 0.9943247437477112)]"
88,4,E,776,1,1,2,"[('right', 0.995857298374176), ('left', 0.9931447505950928)]"
89,4,E,777,1,1,2,"[('right', 0.9953670501708984), ('left', 0.9943249821662903)]"
90,5,F,930,1,1,2,"[('left', 0.9971016645431519), ('right', 0.9940041899681091)]"
91,5,F,931,1,1,2,"[('left', 0.9978746175765991), ('right', 0.9946879148483276)]"
92,5,F,932,1,1,2,"[('left', 0.9979480504989624), ('right', 0.9936494827270508)]"
93,5,F,933,1,1,2,"[('left', 0.997920036315918), ('right', 0.9947360157966614)]"
94,5,F,934,1,1,2,"[('left', 0.9979550242424011), ('right', 0.9952555894851685)]"
95,5,F,935,1,1,2,"[('left', 0.9980993270874023), ('right', 0.9954870939254761)]"
96,5,F,936,1,1,2,"[('left', 0.997402012348175), ('right', 0.9954938292503357)]"
97,5,F,937,1,1,2,"[('left', 0.9976562857627869), ('right', 0.9954031109809875)]"
98,5,F,938,1,1,2,"[('left', 0.9972643852233887), ('right', 0.9959972500801086)]"
99,5,F,939,1,1,2,"[('left', 0.9968568086624146), ('right', 0.9961972832679749)]"
100,5,F,940,1,1,2,"[('left', 0.9962831735610962), ('right', 0.9953452944755554)]"
101,5,F,941,1,1,2,"[('left', 0.9969174861907959), ('right', 0.9940012693405151)]"
102,5,F,942,1,1,2,"[('left', 0.9971503019332886), ('right', 0.994317889213562)]"
103,5,F,943,1,1,2,"[('left', 0.9964902997016907), ('right', 0.9943066835403442)]"
104,5,F,944,1,1,2,"[('left', 0.9949295520782471), ('right', 0.9941673874855042)]"
105,5,F,945,1,1,2,"[('left', 0.9949172139167786), ('right', 0.9931864738464355)]"
106,5,F,946,1,1,2,"[('left', 0.9937025904655457), ('right', 0.9931475520133972)]"
107,5,F,947,1,1,2,"[('left', 0.9938535690307617), ('right', 0.9937254190444946)]"
108,6,G,1049,1,1,2,"[('left', 0.9135425090789795), ('right', 0.9058427214622498)]"
109,6,G,1050,1,1,2,"[('left', 0.9372386932373047), ('right', 0.8898453712463379)]"
