class_id,label,frame_index,time_seconds,hold_offset,temporal_group_id,file,absolute_path,split
0,A,77,2.566666666666667,0,A_000,clean_hold_images/A/A_0077.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0077.jpg,test
0,A,78,2.6,1,A_000,clean_hold_images/A/A_0078.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0078.jpg,test
0,A,79,2.6333333333333333,2,A_000,clean_hold_images/A/A_0079.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0079.jpg,test
0,A,80,2.6666666666666665,3,A_000,clean_hold_images/A/A_0080.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0080.jpg,test
0,A,81,2.7,4,A_000,clean_hold_images/A/A_0081.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0081.jpg,test
0,A,82,2.7333333333333334,5,A_000,clean_hold_images/A/A_0082.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0082.jpg,test
0,A,83,2.7666666666666666,6,A_001,clean_hold_images/A/A_0083.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0083.jpg,val
0,A,84,2.8,7,A_001,clean_hold_images/A/A_0084.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0084.jpg,val
0,A,85,2.833333333333333,8,A_001,clean_hold_images/A/A_0085.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0085.jpg,val
0,A,86,2.8666666666666667,9,A_001,clean_hold_images/A/A_0086.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0086.jpg,val
0,A,87,2.9,10,A_001,clean_hold_images/A/A_0087.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0087.jpg,val
0,A,88,2.933333333333333,11,A_001,clean_hold_images/A/A_0088.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0088.jpg,val
0,A,89,2.966666666666667,12,A_002,clean_hold_images/A/A_0089.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0089.jpg,train
0,A,90,3.0,13,A_002,clean_hold_images/A/A_0090.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0090.jpg,train
0,A,91,3.033333333333333,14,A_002,clean_hold_images/A/A_0091.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0091.jpg,train
0,A,92,3.066666666666667,15,A_002,clean_hold_images/A/A_0092.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0092.jpg,train
0,A,93,3.1,16,A_002,clean_hold_images/A/A_0093.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0093.jpg,train
0,A,94,3.1333333333333333,17,A_002,clean_hold_images/A/A_0094.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/A/A_0094.jpg,train
1,B,246,8.2,0,B_000,clean_hold_images/B/B_0246.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0246.jpg,train
1,B,247,8.233333333333333,1,B_000,clean_hold_images/B/B_0247.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0247.jpg,train
1,B,248,8.266666666666667,2,B_000,clean_hold_images/B/B_0248.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0248.jpg,train
1,B,249,8.3,3,B_000,clean_hold_images/B/B_0249.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0249.jpg,train
1,B,250,8.333333333333334,4,B_000,clean_hold_images/B/B_0250.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0250.jpg,train
1,B,251,8.366666666666667,5,B_000,clean_hold_images/B/B_0251.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0251.jpg,train
1,B,252,8.4,6,B_001,clean_hold_images/B/B_0252.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0252.jpg,test
1,B,253,8.433333333333334,7,B_001,clean_hold_images/B/B_0253.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0253.jpg,test
1,B,254,8.466666666666667,8,B_001,clean_hold_images/B/B_0254.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0254.jpg,test
1,B,255,8.5,9,B_001,clean_hold_images/B/B_0255.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0255.jpg,test
1,B,256,8.533333333333333,10,B_001,clean_hold_images/B/B_0256.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0256.jpg,test
1,B,257,8.566666666666666,11,B_001,clean_hold_images/B/B_0257.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0257.jpg,test
1,B,258,8.6,12,B_002,clean_hold_images/B/B_0258.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0258.jpg,val
1,B,259,8.633333333333333,13,B_002,clean_hold_images/B/B_0259.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0259.jpg,val
1,B,260,8.666666666666666,14,B_002,clean_hold_images/B/B_0260.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0260.jpg,val
1,B,261,8.7,15,B_002,clean_hold_images/B/B_0261.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0261.jpg,val
1,B,262,8.733333333333333,16,B_002,clean_hold_images/B/B_0262.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0262.jpg,val
1,B,263,8.766666666666667,17,B_002,clean_hold_images/B/B_0263.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/B/B_0263.jpg,val
2,C,379,12.633333333333333,0,C_000,clean_hold_images/C/C_0379.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0379.jpg,test
2,C,380,12.666666666666666,1,C_000,clean_hold_images/C/C_0380.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0380.jpg,test
2,C,381,12.7,2,C_000,clean_hold_images/C/C_0381.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0381.jpg,test
2,C,382,12.733333333333333,3,C_000,clean_hold_images/C/C_0382.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0382.jpg,test
2,C,383,12.766666666666667,4,C_000,clean_hold_images/C/C_0383.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0383.jpg,test
2,C,384,12.8,5,C_000,clean_hold_images/C/C_0384.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0384.jpg,test
2,C,385,12.833333333333334,6,C_001,clean_hold_images/C/C_0385.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0385.jpg,train
2,C,386,12.866666666666667,7,C_001,clean_hold_images/C/C_0386.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0386.jpg,train
2,C,387,12.9,8,C_001,clean_hold_images/C/C_0387.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0387.jpg,train
2,C,388,12.933333333333334,9,C_001,clean_hold_images/C/C_0388.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0388.jpg,train
2,C,389,12.966666666666669,10,C_001,clean_hold_images/C/C_0389.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0389.jpg,train
2,C,390,13.0,11,C_001,clean_hold_images/C/C_0390.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0390.jpg,train
2,C,391,13.033333333333331,12,C_002,clean_hold_images/C/C_0391.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0391.jpg,val
2,C,392,13.066666666666666,13,C_002,clean_hold_images/C/C_0392.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0392.jpg,val
2,C,393,13.1,14,C_002,clean_hold_images/C/C_0393.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0393.jpg,val
2,C,394,13.133333333333333,15,C_002,clean_hold_images/C/C_0394.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0394.jpg,val
2,C,395,13.166666666666666,16,C_002,clean_hold_images/C/C_0395.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0395.jpg,val
2,C,396,13.2,17,C_002,clean_hold_images/C/C_0396.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/C/C_0396.jpg,val
3,D,610,20.33333333333333,0,D_000,clean_hold_images/D/D_0610.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0610.jpg,val
3,D,611,20.366666666666667,1,D_000,clean_hold_images/D/D_0611.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0611.jpg,val
3,D,612,20.4,2,D_000,clean_hold_images/D/D_0612.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0612.jpg,val
3,D,613,20.433333333333334,3,D_000,clean_hold_images/D/D_0613.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0613.jpg,val
3,D,614,20.466666666666665,4,D_000,clean_hold_images/D/D_0614.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0614.jpg,val
3,D,615,20.5,5,D_000,clean_hold_images/D/D_0615.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0615.jpg,val
3,D,616,20.53333333333333,6,D_001,clean_hold_images/D/D_0616.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0616.jpg,test
3,D,617,20.566666666666663,7,D_001,clean_hold_images/D/D_0617.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0617.jpg,test
3,D,618,20.6,8,D_001,clean_hold_images/D/D_0618.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0618.jpg,test
3,D,619,20.633333333333333,9,D_001,clean_hold_images/D/D_0619.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0619.jpg,test
3,D,620,20.666666666666668,10,D_001,clean_hold_images/D/D_0620.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0620.jpg,test
3,D,621,20.7,11,D_001,clean_hold_images/D/D_0621.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0621.jpg,test
3,D,622,20.73333333333333,12,D_002,clean_hold_images/D/D_0622.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0622.jpg,train
3,D,623,20.766666666666666,13,D_002,clean_hold_images/D/D_0623.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0623.jpg,train
3,D,624,20.8,14,D_002,clean_hold_images/D/D_0624.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0624.jpg,train
3,D,625,20.83333333333333,15,D_002,clean_hold_images/D/D_0625.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0625.jpg,train
3,D,626,20.866666666666667,16,D_002,clean_hold_images/D/D_0626.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0626.jpg,train
3,D,627,20.9,17,D_002,clean_hold_images/D/D_0627.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/D/D_0627.jpg,train
4,E,760,25.33333333333333,0,E_000,clean_hold_images/E/E_0760.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/E/E_0760.jpg,val
4,E,761,25.366666666666667,1,E_000,clean_hold_images/E/E_0761.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/E/E_0761.jpg,val
4,E,762,25.4,2,E_000,clean_hold_images/E/E_0762.jpg,/kaggle/input/datasets/loliwibu/master-bisindo-v7/clean_hold_images/E/E_0762.jpg,val
